"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2049,84,98,110,130,190,240,350,580,15000
"GET categorypage",2056,46,54,63,74,97,120,210,590,4700
"GET homepage",2056,25,30,35,38,59,76,94,130,7800
"POST login",1032,71,81,89,95,120,150,210,3100,5800
"GET loginpage",1033,23,28,32,35,53,80,160,620,4400
"GET logout",1023,33,41,47,53,78,94,110,120,200
"GET productpage",2055,67,81,96,110,150,190,350,560,4400
"GET profile",1023,40,49,61,68,87,110,190,500,1600
"Total",12327,54,69,79,86,110,170,270,500,15000
