"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2043,79,92,110,130,190,280,400,700,7500
"GET categorypage",2044,43,51,62,75,100,120,220,1100,2100
"GET homepage",2051,25,31,35,40,65,83,98,180,9400
"POST login",1026,71,82,92,99,130,170,210,4100,11000
"GET loginpage",1029,22,26,30,34,58,82,130,840,1100
"GET logout",1021,31,37,43,51,85,99,110,120,11000
"GET productpage",2043,61,74,88,100,170,210,390,890,2000
"GET profile",1021,37,44,53,66,95,110,200,770,1500
"Total",12278,50,66,76,84,110,180,290,570,11000
