"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1725,120,150,180,190,230,310,580,1100,18000
"GET categorypage",1731,62,79,91,97,120,180,510,1200,6000
"GET homepage",1731,30,37,46,54,75,92,130,350,16000
"POST login",868,85,99,110,120,150,180,300,3200,5700
"GET loginpage",869,30,36,44,50,73,88,780,890,1800
"GET logout",860,41,52,64,74,92,100,130,170,17000
"GET productpage",1729,92,110,140,160,200,290,630,1200,1900
"GET profile",861,51,68,80,86,100,160,800,950,17000
"Total",10374,71,90,100,110,170,210,480,950,18000
