"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1957,88,110,130,160,220,300,480,810,11000
"GET categorypage",1961,49,59,71,85,120,170,290,810,5200
"GET homepage",1963,27,33,38,43,70,88,110,150,9400
"POST login",984,73,84,97,110,140,190,400,1400,6300
"GET loginpage",986,24,30,34,39,61,89,120,1100,5500
"GET logout",977,34,42,50,60,93,110,150,170,11000
"GET productpage",1959,71,88,110,130,190,280,550,1100,2000
"GET profile",977,41,51,65,78,110,160,230,720,5900
"Total",11764,56,72,85,95,140,200,370,730,11000
