"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1991,80,96,110,140,210,290,470,700,9200
"GET categorypage",1995,46,55,68,78,110,160,310,1100,9100
"GET homepage",1994,25,30,34,38,63,84,110,190,12000
"POST login",1000,71,81,92,100,130,170,230,3100,11000
"GET loginpage",1000,23,28,32,36,59,87,280,420,1400
"GET logout",994,32,40,47,53,80,99,130,180,14000
"GET productpage",1993,64,77,95,110,180,260,490,1100,2300
"GET profile",995,38,45,57,67,92,120,390,980,1900
"Total",11962,53,67,78,87,120,190,320,570,14000
