"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1859,99,130,170,180,240,310,490,720,19000
"GET categorypage",1863,54,69,83,91,110,180,280,860,5500
"GET homepage",1868,29,35,41,47,70,84,100,440,17000
"POST login",938,78,90,98,110,140,200,720,2800,9600
"GET loginpage",938,27,33,38,43,68,100,210,700,1300
"GET logout",929,38,48,56,65,88,100,120,180,16000
"GET productpage",1861,82,100,120,150,200,290,450,980,5000
"GET profile",929,47,62,78,84,100,130,320,750,5100
"Total",11185,61,80,93,100,160,210,360,750,19000
