"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1984,93,120,150,180,270,350,500,870,7700
"GET categorypage",1989,50,60,72,83,110,160,270,400,7900
"GET homepage",1988,26,31,37,41,66,83,120,160,8100
"POST login",998,74,84,93,100,130,180,250,2400,3000
"GET loginpage",998,24,29,34,39,58,80,130,1000,1100
"GET logout",989,34,41,48,55,80,99,130,180,680
"GET productpage",1988,72,94,120,150,220,300,480,780,1400
"GET profile",989,41,49,61,73,98,180,290,1600,2000
"Total",11923,56,73,86,95,150,220,370,610,8100
