"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2053,81,96,110,130,190,250,380,610,8300
"GET categorypage",2055,45,55,65,74,97,120,200,900,12000
"GET homepage",2057,25,31,36,41,64,79,110,180,8200
"POST login",1030,73,84,95,100,130,180,320,3900,12000
"GET loginpage",1030,23,28,32,35,58,84,140,680,1000
"GET logout",1025,31,39,46,54,82,96,120,180,12000
"GET productpage",2054,65,78,94,100,160,200,380,870,1900
"GET profile",1025,39,48,57,67,92,110,330,690,1100
"Total",12329,53,68,78,85,110,180,280,600,12000
