"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2077,79,93,110,120,190,230,320,440,11000
"GET categorypage",2077,44,52,60,68,96,120,200,370,12000
"GET homepage",2081,25,30,34,37,57,78,96,120,13000
"POST login",1039,72,81,88,95,120,160,220,2600,8100
"GET loginpage",1043,23,27,32,35,54,79,280,990,2300
"GET logout",1036,32,38,46,52,82,100,120,170,11000
"GET productpage",2077,63,75,89,100,160,210,390,610,13000
"GET profile",1038,38,45,53,64,91,120,190,1000,12000
"Total",12468,51,66,76,83,110,170,280,500,13000
