"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",1893,93,130,180,200,300,390,500,980,11000
"GET categorypage",1898,46,60,78,88,110,180,310,1200,8300
"GET homepage",1899,26,31,36,42,70,88,140,240,13000
"POST login",950,73,85,98,110,130,190,300,2700,7600
"GET loginpage",952,24,30,35,40,65,84,210,500,1200
"GET logout",944,34,43,54,64,86,100,140,180,8500
"GET productpage",1894,72,110,140,170,220,310,480,600,4300
"GET profile",945,40,53,70,80,110,160,320,820,10000
"Total",11375,56,75,88,100,170,250,400,610,13000
