"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2058,81,98,110,130,190,270,380,700,8400
"GET categorypage",2065,44,54,68,79,100,130,270,420,12000
"GET homepage",2062,25,30,35,39,65,80,98,110,14000
"POST login",1035,71,83,95,110,140,170,240,1300,3100
"GET loginpage",1035,22,27,31,34,53,82,110,520,12000
"GET logout",1026,32,39,47,53,82,100,120,130,13000
"GET productpage",2058,65,77,94,100,170,210,400,680,5100
"GET profile",1026,39,46,60,72,96,120,220,980,1600
"Total",12365,51,67,78,86,120,180,290,540,14000
