burst,iteration,num_pods,event_latency,event_handle_latency
burst-10,1,9,0.29720354080200195,4.884588718414307
burst-10,2,9,0.3110392093658447,5.003092050552368
burst-10,3,9,0.3077828884124756,4.659434795379639
burst-10,4,9,0.2807779312133789,5.634036540985107
burst-10,5,9,0.27676868438720703,4.964275598526001
burst-25,1,25,1.1540091037750244,6.8633482456207275
burst-25,2,25,1.08925199508667,6.802618741989136
burst-25,3,25,0.9121921062469482,5.742719888687134
burst-25,4,25,1.006378173828125,6.180443048477173
burst-25,5,25,1.0995666980743408,6.797025918960571
burst-50,1,50,4.264774560928345,7.713884353637695
burst-50,2,50,3.9122154712677,6.963059186935425
burst-50,3,50,3.463481903076172,6.034974813461304
burst-50,4,50,3.7621958255767822,6.5670130252838135
burst-50,5,50,3.853571891784668,6.902474403381348
burst-100,1,99,5.558096170425415,7.308011770248413
burst-100,2,99,5.21041464805603,6.907268285751343
burst-100,3,99,5.509435653686523,7.217779874801636
burst-100,4,99,5.481998682022095,7.093998908996582
burst-100,5,99,5.42529034614563,7.049636125564575
