burst,iteration,num_pods,avg_handle_time,avg_event_time,avg_creation_start
burst-10,4,9,1753879390.6887646,1753879385.335506,1753879385.054728
burst-10,1,9,1753879096.7182553,1753879092.1308699,1753879091.8336666
burst-10,5,9,1753879488.4010718,1753879483.7135649,1753879483.4367962
burst-10,2,9,1753879195.2178338,1753879190.525781,1753879190.2147417
burst-10,3,9,1753879292.3620584,1753879288.0104065,1753879287.7026236
burst-25,4,25,1753879940.6718304,1753879935.4977655,1753879934.4913874
burst-25,1,25,1753879604.1019742,1753879598.392635,1753879597.238626
burst-25,5,25,1753880053.7545416,1753880048.0570824,1753880046.9575155
burst-25,2,25,1753879715.5306408,1753879709.817274,1753879708.728022
burst-25,3,25,1753879826.7591026,1753879821.9285748,1753879821.0163827
burst-50,4,50,1753880561.843761,1753880559.0389438,1753880555.276748
burst-50,1,50,1753880179.4676394,1753880176.0185297,1753880171.753755
burst-50,5,50,1753880688.6813002,1753880685.6323977,1753880681.7788258
burst-50,2,50,1753880306.2974432,1753880303.2465994,1753880299.334384
burst-50,3,50,1753880431.770082,1753880429.198589,1753880425.7351072
burst-100,4,99,1753881675.2974787,1753881673.6854787,1753881668.20348
burst-100,1,99,1753881095.0056806,1753881093.255765,1753881087.6976688
burst-100,5,99,1753881869.0626333,1753881867.4382875,1753881862.0129972
burst-100,2,99,1753881287.5493689,1753881285.8525152,1753881280.6421006
burst-100,3,99,1753881485.891735,1753881484.1833909,1753881478.6739552
