Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-04-19 14:47:09,20.4,2570.27,3915.04,73.2,13.02,32.73,51.27
2025-04-19 14:47:10,25.9,2572.48,3915.04,73.3,13.02,59.97,77.58
2025-04-19 14:47:11,12.2,2572.69,3915.04,73.3,13.02,96.48,113.36
2025-04-19 14:47:12,10.0,2572.69,3915.04,73.3,13.02,122.43,137.56
2025-04-19 14:47:13,10.1,2572.69,3915.04,73.3,13.02,225.21,240.24
2025-04-19 14:47:14,12.7,2572.69,3915.04,73.3,13.02,258.08,272.77
2025-04-19 14:47:15,17.3,2573.39,3915.04,73.3,13.02,287.47,302.24
2025-04-19 14:47:16,12.6,2573.39,3915.04,73.3,13.02,310.9,324.72
2025-04-19 14:47:17,9.5,2573.38,3915.04,73.3,13.02,344.94,358.41
2025-04-19 14:47:18,16.5,2573.38,3915.04,73.3,13.02,382.51,394.78
2025-04-19 14:47:19,8.9,2573.38,3915.04,73.3,13.02,409.81,421.13
2025-04-19 14:47:20,15.6,2575.1,3915.04,73.4,13.02,441.18,450.38
2025-04-19 14:47:21,11.1,2571.04,3915.04,73.3,13.02,470.06,479.4
2025-04-19 14:47:22,8.9,2571.04,3915.04,73.3,13.02,492.21,500.07
2025-04-19 14:47:23,9.0,2571.04,3915.04,73.3,13.02,518.63,526.16
2025-04-19 14:47:24,11.6,2571.5,3915.04,73.3,13.02,551.78,557.93
2025-04-19 14:47:25,16.7,2572.23,3915.04,73.3,13.02,581.3,587.17
2025-04-19 14:47:26,12.2,2572.48,3915.04,73.3,13.02,604.38,608.82
2025-04-19 14:47:27,17.9,2592.41,3915.04,73.8,13.02,642.24,646.18
2025-04-19 14:47:28,13.3,2592.41,3915.04,73.8,13.02,672.02,674.51
2025-04-19 14:47:29,9.4,2592.41,3915.04,73.8,13.02,699.79,702.22
2025-04-19 14:47:30,11.6,2592.41,3915.04,73.8,13.02,722.41,722.92
2025-04-19 14:47:31,16.0,2592.87,3915.04,73.8,13.02,762.48,768.86
2025-04-19 14:47:32,9.9,2593.11,3915.04,73.8,13.02,788.2,793.21
2025-04-19 14:47:33,13.2,2596.55,3915.04,73.9,13.02,816.36,820.63
2025-04-19 14:47:34,8.9,2596.55,3915.04,73.9,13.02,841.05,844.06
2025-04-19 14:47:35,14.5,2596.54,3915.04,73.9,13.02,877.84,879.46
2025-04-19 14:47:36,14.1,2596.54,3915.04,73.9,13.02,902.54,903.16
