Time,CPU Usage (%),Memory Used (MB),Memory Total (MB),Memory (%),Disk Used (GB),Network Sent (KB),Network Received (KB)
2025-07-30 17:16:39,10.7,2781.11,7940.33,38.9,17.61,40.64,39.13
2025-07-30 17:16:40,16.7,2786.76,7940.33,39.0,17.61,162.19,159.04
2025-07-30 17:16:41,22.7,2771.54,7940.33,38.8,17.61,1733.59,1728.73
2025-07-30 17:16:42,2.8,2771.12,7940.33,38.8,17.61,1744.34,1739.76
2025-07-30 17:16:43,32.1,2807.51,7940.33,39.3,17.61,4389.7,4383.62
2025-07-30 17:16:44,51.7,2769.5,7940.33,38.8,17.61,7679.96,6999.92
2025-07-30 17:16:45,35.6,2783.11,7940.33,39.0,17.61,8847.18,7839.96
2025-07-30 17:16:46,24.4,2784.07,7940.33,39.0,17.61,9479.76,8277.33
2025-07-30 17:16:47,48.3,2759.98,7940.33,38.7,17.71,13419.61,11983.5
2025-07-30 17:16:48,28.2,2741.12,7940.33,38.4,17.71,14365.76,12640.59
2025-07-30 17:16:49,28.1,2750.8,7940.33,38.6,17.71,15517.7,13621.66
2025-07-30 17:16:50,19.2,2741.77,7940.33,38.4,17.71,16975.35,15081.85
2025-07-30 17:16:51,18.7,2722.54,7940.33,38.2,17.71,18137.85,15853.35
2025-07-30 17:16:52,14.9,2722.29,7940.33,38.2,17.71,18404.44,16126.78
2025-07-30 17:16:53,8.6,2722.53,7940.33,38.2,17.71,18555.39,16280.48
2025-07-30 17:16:54,14.2,2722.23,7940.33,38.2,17.71,18641.72,16380.48
2025-07-30 17:16:55,9.7,2722.63,7940.33,38.2,17.71,18736.08,16481.04
2025-07-30 17:16:56,14.6,2722.06,7940.33,38.2,17.71,18868.15,16625.19
2025-07-30 17:16:57,12.9,2721.14,7940.33,38.2,17.71,18970.54,16740.1
2025-07-30 17:16:58,17.6,2713.77,7940.33,38.1,17.71,19855.0,17613.68
2025-07-30 17:16:59,15.5,2713.63,7940.33,38.1,17.71,19993.0,17768.08
2025-07-30 17:17:00,11.9,2713.87,7940.33,38.1,17.71,20132.4,17907.67
2025-07-30 17:17:01,9.5,2713.86,7940.33,38.1,17.71,20227.47,18001.0
2025-07-30 17:17:02,10.3,2714.1,7940.33,38.1,17.71,20306.62,18092.92
2025-07-30 17:17:03,14.4,2712.31,7940.33,38.1,17.71,20412.97,18221.36
2025-07-30 17:17:04,14.1,2712.29,7940.33,38.1,17.71,20553.7,18365.67
2025-07-30 17:17:05,11.9,2711.29,7940.33,38.1,17.71,21301.67,19120.02
2025-07-30 17:17:06,30.7,2711.48,7940.33,38.1,17.71,24558.55,22395.94
2025-07-30 17:17:07,16.9,2711.46,7940.33,38.1,17.71,25653.37,23474.44
2025-07-30 17:17:08,33.3,2690.28,7940.33,37.8,17.71,28760.44,26565.07
2025-07-30 17:17:09,5.6,2690.33,7940.33,37.8,17.71,28848.7,26637.01
2025-07-30 17:17:10,7.9,2690.8,7940.33,37.8,17.71,28983.46,26739.82
2025-07-30 17:17:11,12.5,2691.02,7940.33,37.8,17.71,29879.5,27619.84
2025-07-30 17:17:12,4.6,2691.02,7940.33,37.8,17.71,29948.5,27672.87
