"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET addtocart",2048,78,93,110,130,200,290,400,580,10000
"GET categorypage",2053,44,53,63,77,110,130,220,620,14000
"GET homepage",2049,25,30,34,38,68,88,120,170,7500
"POST login",1028,70,80,88,95,130,180,210,400,3100
"GET loginpage",1028,23,28,32,36,71,94,120,510,9700
"GET logout",1020,32,40,49,58,86,110,160,200,16000
"GET productpage",2052,63,75,90,100,180,270,470,810,2400
"GET profile",1020,37,46,55,66,97,120,190,310,2300
"Total",12298,51,66,77,86,120,190,300,500,16000
